1-PHRS-COLLECTION-PART11,To disappoint someone.,let down,look for,make out,live on,a,let down,phrase,/let daʊn/,/let daʊn/,B1,To disappoint someone.,Làm ai thất vọng.,,I did not want to let my team down.,Tôi không muốn làm đội của mình thất vọng.,"disappoint (làm thất vọng), fail (làm hỏng), let down (làm hụt)","encourage (khích lệ), support (ủng hộ)"
2-PHRS-COLLECTION-PART11,To allow someone to enter.,let in,look into,make up,live through,a,let in,phrase,/let ɪn/,/let ɪn/,A2,To allow someone to enter.,Cho ai đó vào trong.,,Please let the dog in before it rains.,Hãy cho con chó vào trong trước khi trời mưa.,"allow in (cho vào), admit (cho vào), admit entry (cho vào)","keep out (không cho vào), refuse entry (từ chối cho vào)"
3-PHRS-COLLECTION-PART11,To make something explode or excuse someone from punishment.,let off,look over,make for,live up to,a,let off,phrase,/let ɒf/,/let ɔːf/,B2,To make something explode or excuse someone from punishment.,Cho nổ hoặc tha cho ai khỏi bị phạt.,,The police let him off with a warning.,Cảnh sát đã tha cho anh ta bằng một lời cảnh cáo.,"excuse (tha), release (thả), explode (làm nổ)","punish (trừng phạt), arrest (bắt giữ)"
4-PHRS-COLLECTION-PART11,To reveal a secret or show that you know something.,let on,look around,make up for,live through,a,let on,phrase,/let ɒn/,/let ɑːn/,B2,To reveal a secret or show that you know something.,Tiết lộ bí mật hoặc cho thấy mình biết điều gì.,,She did not let on that she knew the truth.,Cô ấy không tiết lộ rằng mình biết sự thật.,"reveal (tiết lộ), admit (thừa nhận), disclose (bộc lộ)","hide (che giấu), keep secret (giữ bí mật)"
5-PHRS-COLLECTION-PART11,To allow something to leave or reveal a sound or secret.,let out,look after,make into,live on,a,let out,phrase,/let aʊt/,/let aʊt/,B1,To allow something to leave or reveal a sound or secret.,Để thoát ra hoặc tiết lộ điều gì.,,The child let out a loud laugh.,Đứa trẻ bật ra một tiếng cười lớn.,"release (thả ra), emit (phát ra), reveal (tiết lộ)","hold in (giữ lại), suppress (kìm nén)"
6-PHRS-COLLECTION-PART11,To become weaker or stop.,let up,look out,make off,live up to,a,let up,phrase,/let ʌp/,/let ʌp/,B2,To become weaker or stop.,Dịu bớt hoặc ngừng lại.,,The rain finally let up in the afternoon.,Cơn mưa cuối cùng cũng dịu bớt vào buổi chiều.,"ease (dịu đi), weaken (yếu đi), stop (ngừng)","intensify (mạnh lên), continue (tiếp tục)"
7-PHRS-COLLECTION-PART11,To spend time lying down or being idle.,lie around,look into,make for,let in,a,lie around,phrase,/laɪ əˈraʊnd/,/laɪ əˈraʊnd/,B1,To spend time lying down or being idle.,"Nằm hoặc ngồi lười biếng, không làm gì.",,He spent the afternoon lying around on the sofa.,Anh ấy đã nằm lười trên ghế sofa cả buổi chiều.,"laze around (lười biếng), loaf around (lêu lổng), idle (ngồi không)","work hard (làm việc chăm chỉ), stay active (hoạt động tích cực)"
8-PHRS-COLLECTION-PART11,To move into a horizontal position.,lie down,look for,let off,make out,a,lie down,phrase,/laɪ daʊn/,/laɪ daʊn/,A1,To move into a horizontal position.,Nằm xuống.,,You should lie down and rest.,Bạn nên nằm xuống và nghỉ ngơi.,"rest (nghỉ), recline (nằm), lie flat (nằm thẳng)","stand up (đứng dậy), sit up (ngồi dậy)"
9-PHRS-COLLECTION-PART11,To have a particular source of money or food.,live on,look up to,make up,let in,a,live on,phrase,/lɪv ɒn/,/lɪv ɑːn/,B1,To have a particular source of money or food.,Sống nhờ vào một nguồn tiền hoặc thức ăn nào đó.,,Many families live on a small income.,Nhiều gia đình sống nhờ vào thu nhập ít ỏi.,"survive on (sống nhờ), depend on (dựa vào), subsist on (sống bằng)","spend freely (chi tiêu thoải mái), earn heavily (kiếm nhiều)"
10-PHRS-COLLECTION-PART11,To experience a difficult event and survive it.,live through,look out,make off,let out,a,live through,phrase,/lɪv θruː/,/lɪv θruː/,B2,To experience a difficult event and survive it.,Trải qua một việc khó khăn và sống sót qua nó.,,She lived through the war as a child.,Cô ấy đã trải qua chiến tranh khi còn nhỏ.,"survive (sống sót), endure (chịu đựng), get through (vượt qua)","die in (chết trong), avoid (tránh)"
11-PHRS-COLLECTION-PART11,To meet expectations or a standard.,live up to,look over,make for,let on,a,live up to,phrase,/lɪv ʌp tuː/,/lɪv ʌp tuː/,B2,To meet expectations or a standard.,Đáp ứng kỳ vọng hoặc tiêu chuẩn.,,The film did not live up to the reviews.,Bộ phim không đáp ứng được như các bài đánh giá.,"meet (đáp ứng), satisfy (làm hài lòng), match (phù hợp)","fail to meet (không đạt), disappoint (làm thất vọng)"
12-PHRS-COLLECTION-PART11,To take care of someone or something.,look after,make up for,let out,live on,a,look after,phrase,/lʊk ˈɑːf.tər/,/lʊk ˈæf.tɚ/,A2,To take care of someone or something.,Chăm sóc ai đó hoặc điều gì.,,Can you look after my cat this weekend?,Bạn có thể chăm sóc con mèo của tôi cuối tuần này không?,"take care of (chăm sóc), care for (chăm sóc), watch over (trông nom)","neglect (bỏ bê), ignore (phớt lờ)"
13-PHRS-COLLECTION-PART11,To turn your head to see what is nearby or to examine a place.,look around,live through,knock out,keep from,a,look around,phrase,/lʊk əˈraʊnd/,/lʊk əˈraʊnd/,A2,To turn your head to see what is nearby or to examine a place.,Nhìn xung quanh hoặc tham quan một nơi.,,We looked around the museum for an hour.,Chúng tôi đã tham quan bảo tàng trong một giờ.,"inspect (xem xét), explore (khám phá), scan around (nhìn quanh)","ignore surroundings (bỏ qua xung quanh), look away (ngoảnh đi)"
14-PHRS-COLLECTION-PART11,To think about the past.,look back on,lay off,make off with,keep away from,a,look back on,phrase,/lʊk bæk ɒn/,/lʊk bæk ɑːn/,B2,To think about the past.,Nhìn lại quá khứ.,,I look back on my school days fondly.,Tôi nhìn lại thời đi học với nhiều yêu mến.,"reflect on (suy ngẫm về), remember (nhớ lại), review (xem lại)","forget (quên), ignore the past (bỏ qua quá khứ)"
15-PHRS-COLLECTION-PART11,To think that someone is less important or less good.,look down on,look over,lie around,lead to,a,look down on,phrase,/lʊk daʊn ɒn/,/lʊk daʊn ɑːn/,B2,To think that someone is less important or less good.,Coi thường ai đó.,,Nobody likes being looked down on.,Không ai thích bị coi thường.,"disdain (khinh thường), despise (coi khinh), scorn (khinh miệt)","respect (tôn trọng), admire (ngưỡng mộ)"
16-PHRS-COLLECTION-PART11,To search for someone or something.,look for,let off,make over,live up to,a,look for,phrase,/lʊk fɔːr/,/lʊk fɔːr/,A1,To search for someone or something.,Tìm kiếm ai hoặc điều gì.,,I am looking for my keys.,Tôi đang tìm chìa khóa của mình.,"search for (tìm kiếm), seek (tìm), hunt for (truy tìm)","lose (mất), ignore (bỏ qua)"
17-PHRS-COLLECTION-PART11,To investigate or examine something.,look into,lie down,keep at,go out,a,look into,phrase,/lʊk ˈɪn.tuː/,/lʊk ˈɪn.tuː/,B2,To investigate or examine something.,Điều tra hoặc xem xét điều gì.,,The company will look into the complaint.,Công ty sẽ xem xét đơn phàn nàn.,"investigate (điều tra), examine (xem xét), check into (kiểm tra)","ignore (bỏ qua), overlook (xem nhẹ)"
18-PHRS-COLLECTION-PART11,To be careful or watch for danger.,look out,make out,keep on,let in,a,look out,phrase,/lʊk aʊt/,/lʊk aʊt/,A2,To be careful or watch for danger.,Cẩn thận hoặc để ý nguy hiểm.,,Look out for cars when crossing the road.,Hãy cẩn thận xe cộ khi qua đường.,"be careful (cẩn thận), watch out (đề phòng), beware (cẩn giác)","ignore danger (phớt lờ nguy hiểm), relax (thả lỏng)"
19-PHRS-COLLECTION-PART11,To inspect or review something quickly.,look over,live up to,join in,kick off,a,look over,phrase,/lʊk ˈəʊ.vər/,/lʊk ˈoʊ.vɚ/,B1,To inspect or review something quickly.,Xem qua hoặc kiểm tra nhanh.,,Please look over my essay before I submit it.,Làm ơn xem qua bài luận của tôi trước khi tôi nộp.,"review (xem lại), inspect (kiểm tra), check (xem qua)","ignore (bỏ qua), skip (bỏ qua)"
20-PHRS-COLLECTION-PART11,To read or examine something briefly.,look through,make for,keep away,lay off,a,look through,phrase,/lʊk θruː/,/lʊk θruː/,B2,To read or examine something briefly.,Xem lướt qua hoặc kiểm tra nhanh.,,I looked through the messages on my phone.,Tôi đã xem lướt qua các tin nhắn trên điện thoại.,"scan (đọc lướt), browse (xem lướt), review quickly (xem nhanh)","read carefully (đọc kỹ), ignore (bỏ qua)"
21-PHRS-COLLECTION-PART11,To search for information or improve.,look up,keep off,jump out,lead to,a,look up,phrase,/lʊk ʌp/,/lʊk ʌp/,A2,To search for information or improve.,Tra cứu thông tin hoặc cải thiện.,,You can look up the word in a dictionary.,Bạn có thể tra từ đó trong từ điển.,"search for (tra cứu), check (kiểm tra), improve (cải thiện)","forget (quên), worsen (tệ hơn)"
22-PHRS-COLLECTION-PART11,To admire and respect someone.,look up to,make out,keep back,go by,a,look up to,phrase,/lʊk ʌp tuː/,/lʊk ʌp tuː/,B1,To admire and respect someone.,Ngưỡng mộ và kính trọng ai đó.,,Many children look up to their teachers.,Nhiều đứa trẻ ngưỡng mộ thầy cô của mình.,"admire (ngưỡng mộ), respect (tôn trọng), esteem (quý trọng)","look down on (coi thường), despise (khinh miệt)"
23-PHRS-COLLECTION-PART11,To move towards a place or help create a result.,make for,look around,let on,go out,a,make for,phrase,/meɪk fɔːr/,/meɪk fɔːr/,B2,To move towards a place or help create a result.,Đi về phía hoặc góp phần tạo nên kết quả.,,We made for the exit when the rain started.,Chúng tôi đi về phía lối ra khi trời bắt đầu mưa.,"head for (hướng tới), contribute to (góp phần), move towards (tiến về)","move away from (rời xa), hinder (cản trở)"
24-PHRS-COLLECTION-PART11,To change something into another form.,make into,look out,keep to,kick off,a,make into,phrase,/meɪk ˈɪn.tuː/,/meɪk ˈɪn.tuː/,B2,To change something into another form.,Biến thành một hình dạng hoặc trạng thái khác.,,They made the old house into a cafe.,Họ đã biến ngôi nhà cũ thành quán cà phê.,"convert into (biến thành), turn into (chuyển thành), transform into (chuyển hóa thành)","keep as (giữ nguyên), leave unchanged (giữ không đổi)"
25-PHRS-COLLECTION-PART11,To leave quickly or escape.,make off,look back on,let out,keep on,a,make off,phrase,/meɪk ɒf/,/meɪk ɔːf/,B2,To leave quickly or escape.,Bỏ chạy hoặc rời đi nhanh chóng.,,The thief made off before police arrived.,Tên trộm đã bỏ chạy trước khi cảnh sát đến.,"escape (thoát), flee (bỏ chạy), run off (chạy trốn)","arrive (đến), stay (ở lại)"
26-PHRS-COLLECTION-PART11,To steal something and take it away quickly.,make off with,look after,keep back,go through,a,make off with,phrase,/meɪk ɒf wɪð/,/meɪk ɔːf wɪð/,C1,To steal something and take it away quickly.,Cuỗm đi hoặc trộm mang đi nhanh chóng.,,Someone made off with my bag.,Ai đó đã cuỗm mất túi của tôi.,"steal (ăn cắp), abscond with (cuỗm đi), run away with (mang đi)","return (trả lại), hand over (bàn giao)"
27-PHRS-COLLECTION-PART11,To understand or see something with difficulty.,make out,look into,go after,give up,a,make out,phrase,/meɪk aʊt/,/meɪk aʊt/,B2,To understand or see something with difficulty.,Hiểu ra hoặc nhìn ra điều gì khó thấy.,,I could not make out what the sign said.,Tôi không thể nhìn ra biển báo ghi gì.,"discern (nhận ra), understand (hiểu), figure out (hiểu ra)","misread (đọc sai), overlook (bỏ qua)"
28-PHRS-COLLECTION-PART11,To transfer ownership or give someone a new appearance.,make over,look over,keep from,jump in,a,make over,phrase,/meɪk ˈəʊ.vər/,/meɪk ˈoʊ.vɚ/,B2,To transfer ownership or give someone a new appearance.,Chuyển nhượng hoặc làm mới diện mạo.,,They made over the small apartment.,Họ đã sửa sang lại căn hộ nhỏ.,"transfer (chuyển nhượng), renovate (sửa sang), redesign (làm mới)","retain (giữ lại), leave as is (để nguyên)"
29-PHRS-COLLECTION-PART11,"To invent a story, become friends again, apply cosmetics, or form part of a whole.",make up,look up,keep on,go without,a,make up,phrase,/meɪk ʌp/,/meɪk ʌp/,B1,"To invent a story, become friends again, apply cosmetics, or form part of a whole.","Bịa chuyện, làm hòa, trang điểm hoặc cấu thành một phần.",,They made up after the argument.,Họ đã làm hòa sau cuộc cãi vã.,"invent (bịa ra), reconcile (làm hòa), compose (cấu thành)","tell the truth (nói thật), fall out (cãi nhau)"
30-PHRS-COLLECTION-PART11,To compensate for something bad or missing.,make up for,let on,look after,go out,a,make up for,phrase,/meɪk ʌp fɔːr/,/meɪk ʌp fɔːr/,B2,To compensate for something bad or missing.,Bù đắp cho điều gì chưa tốt hoặc bị thiếu.,,I will make up for being late.,Tôi sẽ bù đắp cho việc đến muộn.,"compensate for (bù đắp), offset (bù lại), amend for (khắc phục)","worsen (làm tệ hơn), neglect (bỏ qua)"
