31-PHRS-COLLECTION-PART14,The police asked the car to __ __ safely.,pull over,phrase,/pʊl ˈəʊ.vər/,/pʊl ˈoʊ.vɚ/,B1,To move a vehicle to the side of the road and stop.,Tấp xe vào lề đường và dừng lại.,,The driver pulled over to check the map.,Người lái xe tấp vào lề để xem bản đồ.,"stop by the roadside (tấp vào lề), draw over (tấp vào), park aside (đỗ sang bên)","drive on (tiếp tục lái), pull out (rời khỏi lề)"
32-PHRS-COLLECTION-PART14,"With treatment, she should __ __ this illness.",pull through,phrase,/pʊl θruː/,/pʊl θruː/,B2,To survive an illness or difficult situation.,Qua khỏi bệnh tật hoặc khó khăn.,,The patient pulled through after surgery.,Bệnh nhân đã qua khỏi sau phẫu thuật.,"survive (sống sót), recover (hồi phục), get through (vượt qua)","give up (bỏ cuộc), succumb (không qua khỏi)"
33-PHRS-COLLECTION-PART14,The staff must __ __ before the deadline.,pull together,phrase,/pʊl təˈɡeð.ər/,/pʊl təˈɡeð.ɚ/,B2,"To work as a team, especially in a difficult time.","Hợp tác hoặc đoàn kết, nhất là khi khó khăn.",,The community pulled together after the flood.,Cộng đồng đã đoàn kết sau trận lũ.,"cooperate (hợp tác), unite (đoàn kết), work together (làm việc cùng nhau)","split apart (chia rẽ), work separately (làm riêng lẻ)"
34-PHRS-COLLECTION-PART14,We may need to __ __ the meeting until Friday.,push back,phrase,/pʊʃ bæk/,/pʊʃ bæk/,B2,To delay something or oppose an idea.,Trì hoãn hoặc phản đối điều gì.,,They pushed back the launch date.,Họ đã lùi ngày ra mắt.,"delay (trì hoãn), postpone (hoãn), resist (phản đối)","bring forward (đưa lên sớm), support (ủng hộ)"
35-PHRS-COLLECTION-PART14,Workers will __ __ better safety rules.,push for,phrase,/pʊʃ fɔːr/,/pʊʃ fɔːr/,B2,To strongly try to make something happen.,Thúc đẩy hoặc cố đạt được điều gì.,,Parents are pushing for safer school buses.,Phụ huynh đang thúc đẩy xe buýt trường học an toàn hơn.,"advocate (ủng hộ mạnh), campaign for (vận động cho), press for (thúc ép đạt được)","oppose (phản đối), abandon (từ bỏ)"
36-PHRS-COLLECTION-PART14,"Even when tired, the hikers decided to __ __.",push on,phrase,/pʊʃ ɒn/,/pʊʃ ɑːn/,B2,To continue moving or working despite difficulty.,Tiếp tục dù gặp khó khăn.,,We pushed on through the heavy rain.,Chúng tôi tiếp tục đi qua cơn mưa lớn.,"continue (tiếp tục), persevere (kiên trì), press on (tiếp tục tiến lên)","stop (dừng), give up (bỏ cuộc)"
37-PHRS-COLLECTION-PART14,Please __ __ your books after studying.,put away,phrase,/pʊt əˈweɪ/,/pʊt əˈweɪ/,A2,To put something in its proper place after using it.,Cất đồ vào đúng chỗ sau khi dùng.,,Put away your toys before dinner.,Hãy cất đồ chơi trước bữa tối.,"store (cất giữ), tidy away (dọn cất), put back (đặt lại)","take out (lấy ra), leave out (để ngoài)"
38-PHRS-COLLECTION-PART14,Do not __ __ your phone on the wet table.,put down,phrase,/pʊt daʊn/,/pʊt daʊn/,B1,To place something down or criticize someone.,Đặt xuống hoặc chỉ trích ai đó.,,Please put down the glass carefully.,Hãy đặt chiếc ly xuống cẩn thận.,"place down (đặt xuống), criticize (chỉ trích), write down (ghi xuống)","pick up (nhặt lên), praise (khen ngợi)"
39-PHRS-COLLECTION-PART14,Each team can __ __ one proposal.,put forward,phrase,/pʊt ˈfɔː.wəd/,/pʊt ˈfɔːr.wɚd/,B2,"To suggest an idea, plan, or person for consideration.","Đề xuất ý tưởng, kế hoạch hoặc ứng viên.",,She put forward a new solution.,Cô ấy đã đề xuất một giải pháp mới.,"propose (đề xuất), suggest (gợi ý), nominate (đề cử)","withdraw (rút lại), reject (bác bỏ)"
40-PHRS-COLLECTION-PART14,Do not __ __ your homework until Sunday night.,put off,phrase,/pʊt ɒf/,/pʊt ɔːf/,B1,To delay something until a later time.,Trì hoãn điều gì đến lúc sau.,,We put off the picnic because of rain.,Chúng tôi hoãn buổi dã ngoại vì mưa.,"postpone (hoãn), delay (trì hoãn), defer (dời lại)","bring forward (đưa lên sớm), do now (làm ngay)"
