31-PHRS-COLLECTION-PART01,Rent and food __ __ most of my monthly spending.,account for,phrase,/əˈkaʊnt fɔːr/,/əˈkaʊnt fɔːr/,B2,To explain the reason for something or form a particular part of a total.,Giải thích nguyên nhân hoặc chiếm một phần trong tổng số.,,Online sales account for most of the shop’s income now.,Doanh số trực tuyến hiện chiếm phần lớn thu nhập của cửa hàng.,"explain (giải thích), make up (chiếm), constitute (cấu thành)","hide (che giấu), ignore (bỏ qua)"
32-PHRS-COLLECTION-PART01,A strong password can __ __ the first line of defence.,act as,phrase,/ækt æz/,/ækt æz/,B1,To perform the role or function of something.,Đóng vai trò hoặc thực hiện chức năng của cái gì.,,This spare room can act as a quiet office.,Căn phòng trống này có thể đóng vai trò như một văn phòng yên tĩnh.,"serve as (đóng vai trò là), function as (có chức năng là)","stop being (không còn là), fail as (không làm được vai trò)"
33-PHRS-COLLECTION-PART01,You should __ __ reliable advice before making the decision.,act on,phrase,/ækt ɒn/,/ækt ɑːn/,B2,"To take action because of advice, information, or a feeling.","Hành động dựa trên lời khuyên, thông tin hoặc cảm xúc.",,The manager acted on the customer’s complaint immediately.,Người quản lý đã hành động ngay theo lời phàn nàn của khách hàng.,"follow (làm theo), respond to (phản hồi với), obey (tuân theo)","disregard (phớt lờ), ignore (bỏ qua)"
34-PHRS-COLLECTION-PART01,"In class, we had to __ __ a short scene from the book.",act out,phrase,/ækt aʊt/,/ækt aʊt/,B2,"To perform a story or feeling through actions, often instead of words.",Diễn lại hoặc thể hiện cảm xúc bằng hành động.,,The children acted out the story with funny voices.,Bọn trẻ đã diễn lại câu chuyện bằng những giọng nói vui nhộn.,"perform (biểu diễn), dramatize (diễn thành kịch), express (thể hiện)","suppress (kìm nén), conceal (che giấu)"
35-PHRS-COLLECTION-PART01,The printer started to __ __ right before the meeting.,act up,phrase,/ækt ʌp/,/ækt ʌp/,B2,To behave badly or stop working properly.,Cư xử không đúng mực hoặc hoạt động trục trặc.,,My old laptop acts up whenever I open too many tabs.,Chiếc laptop cũ của tôi bị trục trặc mỗi khi tôi mở quá nhiều tab.,"misbehave (cư xử hư), malfunction (trục trặc), play up (gây vấn đề)","behave (cư xử đúng), work properly (hoạt động tốt)"
36-PHRS-COLLECTION-PART01,Please __ __ your phone number at the bottom of the form.,add in,phrase,/æd ɪn/,/æd ɪn/,B1,"To include something extra in a mixture, list, or plan.","Thêm một thứ gì đó vào hỗn hợp, danh sách hoặc kế hoạch.",,Add in a little milk if the sauce is too thick.,Hãy thêm một ít sữa nếu nước sốt quá đặc.,"include (bao gồm), put in (cho vào), mix in (trộn vào)","remove (loại bỏ), leave out (bỏ ra)"
37-PHRS-COLLECTION-PART01,They may __ __ a service charge to the final bill.,add on,phrase,/æd ɒn/,/æd ɑːn/,B1,"To attach or include something extra, often at an additional cost.",Thêm vào hoặc tính thêm một khoản phụ.,,The airline added on a fee for extra luggage.,Hãng hàng không đã tính thêm phí cho hành lý quá cân.,"attach (gắn thêm), include extra (thêm vào), tack on (gắn thêm)","deduct (khấu trừ), remove (loại bỏ)"
38-PHRS-COLLECTION-PART01,The rain will __ __ the difficulty of the journey.,add to,phrase,/æd tuː/,/æd tuː/,B1,"To increase the amount, strength, or effect of something.","Làm tăng thêm số lượng, mức độ hoặc tác động của cái gì.",,The soft music added to the relaxing mood.,Tiếng nhạc nhẹ đã làm tăng thêm bầu không khí thư giãn.,"increase (làm tăng), enhance (nâng cao), boost (thúc đẩy)","reduce (giảm), lessen (làm giảm)"
39-PHRS-COLLECTION-PART01,"The numbers do not __ __, so check the receipt again.",add up,phrase,/æd ʌp/,/æd ʌp/,B1,To calculate a total or seem reasonable and true.,Cộng lại hoặc có vẻ hợp lý.,,"Her explanation did not add up, so I asked again.","Lời giải thích của cô ấy nghe không hợp lý, nên tôi đã hỏi lại.","total (cộng lại), make sense (có lý), calculate (tính toán)","miscalculate (tính sai), seem false (có vẻ sai)"
40-PHRS-COLLECTION-PART01,The repairs could __ __ __ more than 500 dollars.,add up to,phrase,/æd ʌp tuː/,/æd ʌp tuː/,B2,To make a total amount or lead to a particular result.,Tổng cộng thành hoặc dẫn đến một kết quả nhất định.,,All the small delays added up to an hour.,Tất cả những lần chậm trễ nhỏ cộng lại thành một giờ.,"total (tổng cộng), amount to (lên tới), come to (thành tổng số)","fall short of (không đạt tới), exclude (loại trừ)"
