1-PHRS-COLLECTION-PART17,To refuse an offer or reduce the volume or heat.,turn down,wake up,work out,write down,a,turn down,phrase,/tɜːn daʊn/,/tɝːn daʊn/,A2,To refuse an offer or reduce the volume or heat.,"Từ chối hoặc vặn nhỏ âm lượng, nhiệt độ.",,She turned down the job offer politely.,Cô ấy lịch sự từ chối lời mời làm việc.,"refuse (từ chối), reject (bác bỏ), lower (vặn nhỏ)","accept (chấp nhận), turn up (vặn to)"
2-PHRS-COLLECTION-PART17,To submit something or go to bed.,turn in,warm up,work on,write off,a,turn in,phrase,/tɜːn ɪn/,/tɝːn ɪn/,A2,To submit something or go to bed.,Nộp bài hoặc đi ngủ.,,Please turn in your homework tomorrow.,Vui lòng nộp bài tập vào ngày mai.,"submit (nộp), hand in (nộp), go to bed (đi ngủ)","keep (giữ lại), stay up (thức khuya)"
3-PHRS-COLLECTION-PART17,To change and become something different.,turn into,wash off,work through,write up,a,turn into,phrase,/tɜːn ˈɪn.tuː/,/tɝːn ˈɪn.tuː/,B1,To change and become something different.,Biến thành một thứ khác.,,The empty shop turned into a cafe.,Cửa hàng trống đã biến thành quán cà phê.,"become (trở thành), change into (biến thành), transform into (chuyển hóa thành)","remain (vẫn là), stay the same (giữ nguyên)"
4-PHRS-COLLECTION-PART17,"To stop a machine, light, or device from working.",turn off,watch out,work up,zip up,a,turn off,phrase,/tɜːn ɒf/,/tɝːn ɔːf/,A1,"To stop a machine, light, or device from working.","Tắt máy, đèn hoặc thiết bị.",,Turn off the lights before you leave.,Hãy tắt đèn trước khi bạn rời đi.,"switch off (tắt), shut off (ngắt), power down (tắt nguồn)","turn on (bật), switch on (bật)"
5-PHRS-COLLECTION-PART17,"To start a machine, light, or device working.",turn on,wear away,work around,yak on,a,turn on,phrase,/tɜːn ɒn/,/tɝːn ɑːn/,A1,"To start a machine, light, or device working.","Bật máy, đèn hoặc thiết bị.",,Can you turn on the fan?,Bạn có thể bật quạt không?,"switch on (bật), activate (kích hoạt), power up (khởi động)","turn off (tắt), switch off (tắt)"
6-PHRS-COLLECTION-PART17,To happen in a particular way or produce something.,turn out,wear off,work off,zone out,a,turn out,phrase,/tɜːn aʊt/,/tɝːn aʊt/,B1,To happen in a particular way or produce something.,Hóa ra hoặc sản xuất ra điều gì.,,The meeting turned out better than expected.,Cuộc họp hóa ra tốt hơn mong đợi.,"prove to be (hóa ra), result (kết quả là), produce (sản xuất)","fail to become (không trở thành), hide (che giấu)"
7-PHRS-COLLECTION-PART17,To flip something to the other side or transfer control.,turn over,wear out,work on,write down,a,turn over,phrase,/tɜːn ˈəʊ.vər/,/tɝːn ˈoʊ.vɚ/,B1,To flip something to the other side or transfer control.,Lật qua hoặc chuyển giao quyền kiểm soát.,,Turn over the page and read the next paragraph.,Hãy lật trang và đọc đoạn tiếp theo.,"flip over (lật qua), hand over (bàn giao), transfer (chuyển giao)","keep (giữ), leave face up (để ngửa)"
8-PHRS-COLLECTION-PART17,"To arrive, appear, or increase the volume or heat.",turn up,wind down,work out,write off,a,turn up,phrase,/tɜːn ʌp/,/tɝːn ʌp/,A2,"To arrive, appear, or increase the volume or heat.","Xuất hiện hoặc vặn tăng âm lượng, nhiệt độ.",,Only a few people turned up for practice.,Chỉ vài người xuất hiện ở buổi tập.,"arrive (đến), appear (xuất hiện), increase (tăng lên)","miss (vắng mặt), turn down (vặn nhỏ)"
9-PHRS-COLLECTION-PART17,To encourage someone to continue or try harder.,urge on,wind up,work through,write up,a,urge on,phrase,/ɜːdʒ ɒn/,/ɝːdʒ ɑːn/,B2,To encourage someone to continue or try harder.,Thúc giục hoặc cổ vũ ai tiếp tục.,,The crowd urged on the tired runners.,Đám đông cổ vũ những vận động viên đang mệt mỏi tiếp tục.,"encourage (khuyến khích), cheer on (cổ vũ), spur on (thúc đẩy)","discourage (làm nản), hold back (kìm lại)"
10-PHRS-COLLECTION-PART17,To finish a supply of something by using it all.,use up,wake up,work around,zip up,a,use up,phrase,/juːz ʌp/,/juːz ʌp/,A2,To finish a supply of something by using it all.,Dùng hết hoặc tiêu hết một nguồn gì.,,We used up all the paper.,Chúng tôi đã dùng hết giấy.,"consume (tiêu thụ), exhaust (dùng cạn), finish (dùng hết)","save (tiết kiệm), conserve (giữ lại)"
11-PHRS-COLLECTION-PART17,To mark the beginning of a new period or event.,usher in,wash off,work off,yak on,a,usher in,phrase,/ˈʌʃ.ər ɪn/,/ˈʌʃ.ɚ ɪn/,C1,To mark the beginning of a new period or event.,Mở đầu hoặc đánh dấu sự khởi đầu của điều gì.,,The invention ushered in a new era of communication.,Phát minh đó mở ra một kỷ nguyên giao tiếp mới.,"introduce (mở đầu), bring in (đưa vào), mark the start of (đánh dấu khởi đầu)","end (kết thúc), close (khép lại)"
12-PHRS-COLLECTION-PART17,To guide someone out of a place.,usher out,wash out,work on,zone out,a,usher out,phrase,/ˈʌʃ.ər aʊt/,/ˈʌʃ.ɚ aʊt/,C1,To guide someone out of a place.,Đưa hoặc dẫn ai ra ngoài.,,Security ushered out the noisy visitor.,Bảo vệ đã đưa vị khách ồn ào ra ngoài.,"lead out (dẫn ra), escort out (hộ tống ra), guide out (đưa ra)","usher in (đưa vào), invite in (mời vào)"
13-PHRS-COLLECTION-PART17,To elect someone to a position by voting.,vote in,watch out,work up,write down,a,vote in,phrase,/vəʊt ɪn/,/voʊt ɪn/,B2,To elect someone to a position by voting.,Bầu ai vào một chức vụ.,,The members voted in a new chairperson.,Các thành viên đã bầu một chủ tịch mới.,"elect (bầu), appoint by vote (bổ nhiệm bằng phiếu), choose (chọn)","vote out (bãi nhiệm), reject (loại bỏ)"
14-PHRS-COLLECTION-PART17,To remove someone from a position by voting.,vote out,wear away,work through,write off,a,vote out,phrase,/vəʊt aʊt/,/voʊt aʊt/,B2,To remove someone from a position by voting.,Bỏ phiếu bãi nhiệm hoặc loại ai khỏi chức vụ.,,The committee voted out the old leader.,Ủy ban đã bỏ phiếu loại lãnh đạo cũ.,"remove by vote (bãi nhiệm bằng phiếu), oust (loại bỏ), reject (bác bỏ)","vote in (bầu vào), re-elect (tái bầu)"
15-PHRS-COLLECTION-PART17,To approve a proposal by voting.,vote through,wear off,work around,write up,a,vote through,phrase,/vəʊt θruː/,/voʊt θruː/,C1,To approve a proposal by voting.,Thông qua đề xuất bằng biểu quyết.,,Parliament voted through the new budget.,Quốc hội đã thông qua ngân sách mới bằng biểu quyết.,"approve by vote (thông qua bằng phiếu), pass (thông qua), ratify (phê chuẩn)","vote down (bác bỏ bằng phiếu), reject (từ chối)"
16-PHRS-COLLECTION-PART17,To stop sleeping or make someone stop sleeping.,wake up,wear out,work off,zip up,a,wake up,phrase,/weɪk ʌp/,/weɪk ʌp/,A1,To stop sleeping or make someone stop sleeping.,Thức dậy hoặc đánh thức ai.,,I usually wake up at six.,Tôi thường thức dậy lúc sáu giờ.,"awaken (thức dậy), get up (thức dậy), rouse (đánh thức)","fall asleep (ngủ thiếp), nod off (ngủ gật)"
17-PHRS-COLLECTION-PART17,To prepare your body for exercise or make something warmer.,warm up,wind down,work on,yak on,a,warm up,phrase,/wɔːm ʌp/,/wɔːrm ʌp/,A2,To prepare your body for exercise or make something warmer.,Khởi động cơ thể hoặc làm nóng lên.,,Athletes warm up before a race.,Vận động viên khởi động trước cuộc đua.,"prepare (khởi động), heat up (làm nóng), loosen up (làm giãn cơ)","cool down (hạ nhiệt), stop (dừng)"
18-PHRS-COLLECTION-PART17,To remove dirt or a substance with water.,wash off,wind up,work out,zone out,a,wash off,phrase,/wɒʃ ɒf/,/wɑːʃ ɔːf/,A2,To remove dirt or a substance with water.,Rửa sạch bằng nước.,,Wash off the mud before coming inside.,Hãy rửa sạch bùn trước khi vào nhà.,"rinse off (rửa sạch), clean off (lau rửa), remove with water (rửa bằng nước)","put on (bôi lên), stain (làm bẩn)"
19-PHRS-COLLECTION-PART17,To cancel because of rain or remove something by washing.,wash out,wake up,work through,write down,a,wash out,phrase,/wɒʃ aʊt/,/wɑːʃ aʊt/,B2,To cancel because of rain or remove something by washing.,Bị hủy vì mưa hoặc bị rửa trôi.,,The match was washed out by heavy rain.,Trận đấu bị hủy vì mưa lớn.,"cancel by rain (hủy vì mưa), rinse out (rửa sạch), wash away (rửa trôi)","go ahead (tiếp tục), stain (làm bẩn)"
20-PHRS-COLLECTION-PART17,To be careful because there may be danger.,watch out,wear away,work up,write off,a,watch out,phrase,/wɒtʃ aʊt/,/wɑːtʃ aʊt/,A2,To be careful because there may be danger.,Coi chừng hoặc cẩn thận vì có nguy hiểm.,,Watch out for cars when you cross the road.,Hãy coi chừng xe khi bạn băng qua đường.,"be careful (cẩn thận), look out (coi chừng), beware (đề phòng)","ignore danger (phớt lờ nguy hiểm), relax (thả lỏng)"
21-PHRS-COLLECTION-PART17,To become thinner or weaker gradually because of use or rubbing.,wear away,turn down,work off,write up,a,wear away,phrase,/weər əˈweɪ/,/wer əˈweɪ/,B2,To become thinner or weaker gradually because of use or rubbing.,Mòn dần do sử dụng hoặc ma sát.,,The stone steps wore away over time.,Các bậc đá mòn dần theo thời gian.,"erode (xói mòn), wear down (mài mòn), thin out (mỏng dần)","strengthen (làm chắc), build up (bồi đắp)"
22-PHRS-COLLECTION-PART17,To gradually lose effect.,wear off,turn in,work around,zip up,a,wear off,phrase,/weər ɒf/,/wer ɔːf/,B2,To gradually lose effect.,Mất tác dụng dần.,,The painkiller wore off after four hours.,Thuốc giảm đau mất tác dụng sau bốn giờ.,"fade (phai dần), diminish (giảm dần), lose effect (mất tác dụng)","take effect (có tác dụng), intensify (mạnh lên)"
23-PHRS-COLLECTION-PART17,To become unusable through use or make someone very tired.,wear out,turn into,work on,yak on,a,wear out,phrase,/weər aʊt/,/wer aʊt/,B1,To become unusable through use or make someone very tired.,Làm mòn hoặc làm ai kiệt sức.,,These shoes wore out quickly.,Đôi giày này mòn rất nhanh.,"exhaust (làm kiệt sức), use up (dùng mòn), tire out (làm mệt)","refresh (làm khỏe lại), preserve (giữ gìn)"
24-PHRS-COLLECTION-PART17,To relax after activity or gradually reduce operations.,wind down,turn off,work out,zone out,a,wind down,phrase,/waɪnd daʊn/,/waɪnd daʊn/,B2,To relax after activity or gradually reduce operations.,Thư giãn hoặc giảm dần hoạt động.,,I like to wind down with music at night.,Tôi thích thư giãn bằng âm nhạc vào buổi tối.,"relax (thư giãn), slow down (chậm lại), reduce gradually (giảm dần)","speed up (tăng tốc), intensify (tăng cường)"
25-PHRS-COLLECTION-PART17,To finish something or end in a particular situation.,wind up,turn on,work through,write down,a,wind up,phrase,/waɪnd ʌp/,/waɪnd ʌp/,B2,To finish something or end in a particular situation.,Kết thúc hoặc rơi vào một tình trạng nào đó.,,We wound up talking for hours.,Cuối cùng chúng tôi nói chuyện hàng giờ.,"end up (cuối cùng), finish (kết thúc), conclude (kết thúc)","start (bắt đầu), begin (khởi đầu)"
26-PHRS-COLLECTION-PART17,To find a way to avoid or solve a difficulty.,work around,turn out,wear off,write off,a,work around,phrase,/wɜːk əˈraʊnd/,/wɝːk əˈraʊnd/,B2,To find a way to avoid or solve a difficulty.,Tìm cách giải quyết hoặc né một khó khăn.,,We worked around the software problem.,Chúng tôi đã tìm cách xử lý vấn đề phần mềm.,"bypass (đi vòng qua), solve indirectly (giải quyết gián tiếp), get around (né tránh)","face directly (đối mặt trực tiếp), ignore (bỏ qua)"
27-PHRS-COLLECTION-PART17,"To remove weight, energy, or debt through effort.",work off,turn over,wear out,write up,a,work off,phrase,/wɜːk ɒf/,/wɝːk ɔːf/,B2,"To remove weight, energy, or debt through effort.",Tiêu hao hoặc đốt cháy bằng nỗ lực.,,I went for a run to work off stress.,Tôi chạy bộ để giải tỏa căng thẳng.,"burn off (đốt cháy), pay off by work (trả bằng lao động), reduce through effort (giảm nhờ nỗ lực)","build up (tích tụ), add to (làm tăng)"
